"time","cm.car_x"
0,0
0.008,-0.000313843
0.016,-0.00125348
0.024,-0.00280998
0.032,-0.00496389
0.04,-0.00768499
0.048,-0.0109346
0.056,-0.014669
0.064,-0.0188426
0.072,-0.0234109
0.08,-0.0283315
0.088,-0.0335644
0.096,-0.0390719
0.104,-0.044817
0.112,-0.0507637
0.12,-0.0568755
0.128,-0.0631156
0.136,-0.0694474
0.144,-0.0758344
0.152,-0.0822408
0.16,-0.0886322
0.168,-0.0949758
0.176,-0.10124
0.184,-0.107397
0.192,-0.113418
0.2,-0.119277
0.208,-0.124952
0.216,-0.130421
0.224,-0.135663
0.232,-0.140659
0.24,-0.145395
0.248,-0.149855
0.256,-0.154027
0.264,-0.157901
0.272,-0.161467
0.28,-0.164721
0.288,-0.167656
0.296,-0.170271
0.304,-0.172564
0.312,-0.174535
0.32,-0.176188
0.328,-0.177525
0.336,-0.178553
0.344,-0.179277
0.352,-0.179705
0.36,-0.179848
0.368,-0.179715
0.376,-0.179317
0.384,-0.178666
0.392,-0.177777
0.4,-0.176662
0.408,-0.175336
0.416,-0.173814
0.424,-0.172111
0.432,-0.170243
0.44,-0.168226
0.448,-0.166076
0.456,-0.16381
0.464,-0.161443
0.472,-0.158991
0.48,-0.15647
0.488,-0.153897
0.496,-0.151286
0.504,-0.148651
0.512,-0.146009
0.52,-0.143372
0.528,-0.140753
0.536,-0.138166
0.544,-0.135623
0.552,-0.133134
0.56,-0.130712
0.568,-0.128365
0.576,-0.126102
0.584,-0.123933
0.592,-0.121865
0.6,-0.119904
0.608,-0.118056
0.616,-0.116327
0.624,-0.114721
0.632,-0.113241
0.64,-0.11189
0.648,-0.110671
0.656,-0.109583
0.664,-0.108629
0.672,-0.107807
0.68,-0.107117
0.688,-0.106557
0.696,-0.106125
0.704,-0.105818
0.712,-0.105634
0.72,-0.105568
0.728,-0.105616
0.736,-0.105773
0.744,-0.106035
0.752,-0.106396
0.76,-0.106851
0.768,-0.107392
0.776,-0.108016
0.784,-0.108714
0.792,-0.10948
0.8,-0.110309
0.808,-0.111193
0.816,-0.112125
0.824,-0.113099
0.832,-0.114109
0.84,-0.115148
0.848,-0.116208
0.856,-0.117285
0.864,-0.118371
0.872,-0.119462
0.88,-0.12055
0.888,-0.121632
0.896,-0.1227
0.904,-0.123751
0.912,-0.124779
0.92,-0.12578
0.928,-0.126751
0.936,-0.127687
0.944,-0.128584
0.952,-0.12944
0.96,-0.130252
0.968,-0.131018
0.976,-0.131734
0.984,-0.1324
0.992,-0.133014
1,-0.133575
1.008,-0.134082
1.016,-0.134534
1.024,-0.134931
1.032,-0.135274
1.04,-0.135562
1.048,-0.135796
1.056,-0.135978
1.064,-0.136108
1.072,-0.136187
1.08,-0.136217
1.088,-0.1362
1.096,-0.136138
1.104,-0.136033
1.112,-0.135886
