"time","cm.car_x"
0,-0.127265
0.008,-0.127265
0.016,-0.127265
0.024,-0.127265
0.032,-0.127265
0.04,-0.127265
0.048,-0.127265
0.056,-0.127265
0.064,-0.127265
0.072,-0.127265
0.08,-0.127265
0.088,-0.127265
0.096,-0.127265
0.104,-0.127265
0.112,-0.127265
0.12,-0.127265
0.128,-0.127265
0.136,-0.127265
0.144,-0.127265
0.152,-0.127265
0.16,-0.127265
0.168,-0.127265
0.176,-0.127265
0.184,-0.127265
0.192,-0.127265
0.2,-0.127265
0.208,-0.127265
0.216,-0.127265
0.224,-0.127265
0.232,-0.127265
0.24,-0.127265
0.248,-0.127265
0.256,-0.127265
0.264,-0.127265
0.272,-0.127265
0.28,-0.127265
0.288,-0.127265
0.296,-0.127265
0.304,-0.127265
0.312,-0.127265
0.32,-0.127265
0.328,-0.127265
0.336,-0.127265
0.344,-0.127265
0.352,-0.127265
0.36,-0.127265
0.368,-0.127265
0.376,-0.127265
0.384,-0.127265
0.392,-0.127265
0.4,-0.127265
0.408,-0.127265
0.416,-0.127265
0.424,-0.127265
0.432,-0.127265
0.44,-0.127265
0.448,-0.127265
0.456,-0.127265
0.464,-0.127265
0.472,-0.127265
0.48,-0.127265
0.488,-0.127265
0.496,-0.127265
0.504,-0.127265
0.512,-0.127265
0.52,-0.127265
0.528,-0.127265
0.536,-0.127265
0.544,-0.127265
0.552,-0.127265
0.56,-0.127265
0.568,-0.127265
0.576,-0.127265
0.584,-0.127265
0.592,-0.127265
0.6,-0.127265
0.608,-0.127265
0.616,-0.127265
0.624,-0.127265
0.632,-0.127265
0.64,-0.127265
0.648,-0.127265
0.656,-0.127265
0.664,-0.127265
0.672,-0.127265
0.68,-0.127265
0.688,-0.127265
0.696,-0.127265
0.704,-0.127265
0.712,-0.127265
0.72,-0.127265
0.728,-0.127265
0.736,-0.127265
0.744,-0.127265
0.752,-0.127265
0.76,-0.127265
0.768,-0.127265
0.776,-0.127265
0.784,-0.127265
0.792,-0.127265
0.8,-0.127265
0.808,-0.127265
0.816,-0.127265
0.824,-0.127265
0.832,-0.127265
0.84,-0.127265
0.848,-0.127265
0.856,-0.127265
0.864,-0.127265
0.872,-0.127265
0.88,-0.127265
0.888,-0.127265
0.896,-0.127265
0.904,-0.127265
0.912,-0.127265
0.92,-0.127265
0.928,-0.127265
0.936,-0.127265
0.944,-0.127265
0.952,-0.127265
0.96,-0.127265
0.968,-0.127265
0.976,-0.127265
0.984,-0.127265
0.992,-0.127265
1,-0.127265
1.008,-0.127265
1.016,-0.127265
1.024,-0.127265
1.032,-0.127265
1.04,-0.127265
1.048,-0.127265
1.056,-0.127265
1.064,-0.127265
1.072,-0.127265
1.08,-0.127265
1.088,-0.127265
1.096,-0.127265
1.104,-0.127265
1.112,-0.127265
1.12,-0.127265
1.128,-0.127265
1.136,-0.127265
1.144,-0.127265
1.152,-0.127265
1.16,-0.127265
1.168,-0.127265
1.176,-0.127265
1.184,-0.127265
1.192,-0.127265
1.2,-0.127265
1.208,-0.127265
1.216,-0.127265
1.224,-0.127265
1.232,-0.127265
1.24,-0.127265
1.248,-0.127265
1.256,-0.127265
1.264,-0.127265
1.272,-0.127265
1.28,-0.127265
1.288,-0.127265
1.296,-0.127265
1.304,-0.127265
1.312,-0.127265
1.32,-0.127265
1.328,-0.127265
1.336,-0.127265
1.344,-0.127265
1.352,-0.127265
1.36,-0.127265
1.368,-0.127265
1.376,-0.127265
1.384,-0.127265
1.392,-0.127265
1.4,-0.127265
1.408,-0.127265
1.416,-0.127265
1.424,-0.127265
1.432,-0.127265
1.44,-0.127265
1.448,-0.127265
1.456,-0.127265
1.464,-0.127265
1.472,-0.127265
1.48,-0.127265
1.488,-0.127265
1.496,-0.127265
1.504,-0.127265
1.512,-0.127265
1.52,-0.127265
1.528,-0.127265
1.536,-0.127265
1.544,-0.127265
1.552,-0.127265
1.56,-0.127265
1.568,-0.127265
1.576,-0.127265
1.584,-0.127265
1.592,-0.127265
1.6,-0.127265
1.608,-0.127265
1.616,-0.127265
1.624,-0.127265
1.632,-0.127265
1.64,-0.127265
1.648,-0.127265
1.656,-0.127265
1.664,-0.127265
1.672,-0.127265
1.68,-0.127265
1.688,-0.127265
1.696,-0.127265
1.704,-0.127265
1.712,-0.127265
1.72,-0.127265
1.728,-0.127265
1.736,-0.127265
1.744,-0.127265
1.752,-0.127265
1.76,-0.127265
1.768,-0.127265
1.776,-0.127265
1.784,-0.127265
1.792,-0.127265
1.8,-0.127265
1.808,-0.127265
1.816,-0.127265
1.824,-0.127265
1.832,-0.127265
1.84,-0.127265
1.848,-0.127265
1.856,-0.127265
1.864,-0.127265
1.872,-0.127265
1.88,-0.127265
1.888,-0.127265
1.896,-0.127265
1.904,-0.127265
1.912,-0.127265
1.92,-0.127265
1.928,-0.127265
1.936,-0.127265
1.944,-0.127265
1.952,-0.127265
1.96,-0.127265
1.968,-0.127265
1.976,-0.127265
1.984,-0.127265
1.992,-0.127265
2,-0.127265
2.008,-0.127265
2.016,-0.127265
2.024,-0.127265
2.032,-0.127265
2.04,-0.127265
2.048,-0.127265
2.056,-0.127265
2.064,-0.127265
2.072,-0.127265
2.08,-0.127265
2.088,-0.127265
2.096,-0.127265
2.104,-0.127265
2.112,-0.127265
2.12,-0.127265
2.128,-0.127265
2.136,-0.127265
2.144,-0.127265
2.152,-0.127265
2.16,-0.127265
2.168,-0.127265
2.176,-0.127265
2.184,-0.127265
2.192,-0.127265
2.2,-0.127265
2.208,-0.127265
2.216,-0.127265
2.224,-0.127265
2.232,-0.127265
2.24,-0.127265
2.248,-0.127265
2.256,-0.127265
2.264,-0.127265
2.272,-0.127265
2.28,-0.127265
2.288,-0.127265
2.296,-0.127265
2.304,-0.127265
2.312,-0.127265
2.32,-0.127265
2.328,-0.127265
2.336,-0.127265
2.344,-0.127265
2.352,-0.127265
2.36,-0.127265
2.368,-0.127265
2.376,-0.127265
2.384,-0.127265
2.392,-0.127265
2.4,-0.127265
2.408,-0.127265
2.416,-0.127265
2.424,-0.127265
2.432,-0.127265
2.44,-0.127265
2.448,-0.127265
2.456,-0.127265
2.464,-0.127265
2.472,-0.127265
2.48,-0.127265
2.488,-0.127265
2.496,-0.127265
2.504,-0.127265
2.512,-0.127265
2.52,-0.127265
2.528,-0.127265
2.536,-0.127265
2.544,-0.127265
2.552,-0.127265
2.56,-0.127265
2.568,-0.127265
2.576,-0.127265
2.584,-0.127265
2.592,-0.127265
2.6,-0.127265
2.608,-0.127265
2.616,-0.127265
2.624,-0.127265
2.632,-0.127265
2.64,-0.127265
2.648,-0.127265
2.656,-0.127265
2.664,-0.127265
2.672,-0.127265
2.68,-0.127265
2.688,-0.127265
2.696,-0.127265
2.704,-0.127265
2.712,-0.127265
2.72,-0.127265
2.728,-0.127265
2.736,-0.127265
2.744,-0.127265
2.752,-0.127265
2.76,-0.127265
2.768,-0.127265
2.776,-0.127265
2.784,-0.127265
2.792,-0.127265
2.8,-0.127265
2.808,-0.127265
2.816,-0.127265
2.824,-0.127265
2.832,-0.127265
2.84,-0.127265
2.848,-0.127265
2.856,-0.127265
2.864,-0.127265
2.872,-0.127265
2.88,-0.127265
2.888,-0.127265
2.896,-0.127265
2.904,-0.127265
2.912,-0.127265
2.92,-0.127265
2.928,-0.127265
2.936,-0.127265
2.944,-0.127265
2.952,-0.127265
2.96,-0.127265
2.968,-0.127265
2.976,-0.127265
2.984,-0.127265
2.992,-0.127265
3,-0.127265
3.008,-0.127265
3.016,-0.127265
3.024,-0.127265
3.032,-0.127265
3.04,-0.127265
3.048,-0.127265
3.056,-0.127265
3.064,-0.127265
3.072,-0.127265
3.08,-0.127265
3.088,-0.127265
3.096,-0.127265
3.104,-0.127265
3.112,-0.127265
3.12,-0.127265
3.128,-0.127265
3.136,-0.127265
3.144,-0.127265
3.152,-0.127265
3.16,-0.127265
3.168,-0.127265
3.176,-0.127265
3.184,-0.127265
3.192,-0.127265
3.2,-0.127265
3.208,-0.127265
3.216,-0.127265
3.224,-0.127265
3.232,-0.127265
3.24,-0.127265
3.248,-0.127265
3.256,-0.127265
3.264,-0.127265
3.272,-0.127265
3.28,-0.127265
3.288,-0.127265
3.296,-0.127265
3.304,-0.127265
3.312,-0.127265
3.32,-0.127265
3.328,-0.127265
3.336,-0.127265
3.344,-0.127265
3.352,-0.127265
3.36,-0.127265
3.368,-0.127265
3.376,-0.127265
3.384,-0.127265
3.392,-0.127265
3.4,-0.127265
3.408,-0.127265
3.416,-0.127265
3.424,-0.127265
3.432,-0.127265
3.44,-0.127265
3.448,-0.127265
3.456,-0.127265
3.464,-0.127265
3.472,-0.127265
3.48,-0.127265
3.488,-0.127265
3.496,-0.127265
3.504,-0.127265
3.512,-0.127265
3.52,-0.127265
3.528,-0.127265
3.536,-0.127265
3.544,-0.127265
3.552,-0.127265
3.56,-0.127265
3.568,-0.127265
3.576,-0.127265
3.584,-0.127265
3.592,-0.127265
3.6,-0.127265
3.608,-0.127265
3.616,-0.127265
3.624,-0.127265
3.632,-0.127265
3.64,-0.127265
3.648,-0.127265
3.656,-0.127265
3.664,-0.127265
